x_m,y_m,left_x_m,left_y_m,right_x_m,right_y_m,w_tr_left_m,w_tr_right_m,w_total_m
-14.147250346913946,11.002469952523288,-15.424814871863973,11.09492389566634,-12.3561384387699,10.872538424382997,1.2819668112425064,1.796722601495588,3.078689412738094
-14.126201250764277,11.120869153969487,-15.41895674499854,11.216389242081329,-12.355163197098287,10.989634084681176,1.2976170954987305,1.7770326250314232,3.0746497205301537
-14.10447748309401,11.239208018903769,-15.412702663511052,11.338037819136291,-12.354320646354823,11.106568266031417,1.313554515242731,1.7565391876193632,3.0700937028620943
-14.082076159124536,11.357480364660168,-15.406039772289413,11.459893424090694,-12.35362851832629,11.223320876496729,1.3297630576456827,1.735215845282724,3.0649789029284067
-14.058985821583967,11.475677870415849,-15.398955216221532,11.581979854203984,-12.353104544799477,11.339871824140124,1.346235428602289,1.7130274353212955,3.0592628639235846
-14.035182772732444,11.593789592922699,-15.39143614019532,11.704320906735616,-12.352766457561172,11.456201017024616,1.3629767601245995,1.6899263689175184,3.052903129042118
-14.01064677636404,11.711803024895449,-15.383469689098678,11.826940378945052,-12.35263198839817,11.572288363213232,1.3799888907448439,1.6658683507336554,3.0458572414784992
-13.985369637074616,11.829704733976843,-15.375043007819524,11.949862068091743,-12.352718869097258,11.688113770768975,1.3972617842032349,1.6408209602239867,3.0380827444272214
-13.959341425858613,11.947479151902773,-15.366143241245762,12.073109771435147,-12.353044831445224,11.803657147754867,1.4147873834569693,1.6147497976258063,3.029537181082776
-13.932537879811676,12.065107251361908,-15.3567575342653,12.196707286234718,-12.353627607228864,11.918898402233925,1.4325723109122295,1.5876057837274251,3.020178094639655
-13.9049240126722,12.18256650451754,-15.346873031766044,12.320678409749917,-12.354484928234958,12.03381744226916,1.4506343167794444,1.5593287115129038,3.009963028292348
-13.87647161516022,12.299832228344954,-15.336476878635905,12.445046939240193,-12.355634526250304,12.148394175923588,1.4689847799257996,1.5298647453095506,2.99884952523535
-13.847163007739432,12.41687785947004,-15.325556219762792,12.569836671965003,-12.357094133061688,12.262608511260224,1.4876250075608193,1.4991701211023332,2.9867951286631524
-13.816978763625672,12.533673610850604,-15.314098200034614,12.695071405183809,-12.3588814804559,12.376440356342089,1.506558658147126,1.4671987236231194,2.9737573817702456
-13.785892028628293,12.65018555989645,-15.302089964339272,12.820774936156065,-12.36101430021973,12.489869619232197,1.5257975723773225,1.4338962553738004,2.959693827751123
-13.753877479276582,12.766378006008736,-15.289493292147045,12.947005351045844,-12.363494955631468,12.602849024063046,1.5453498358728859,1.3992430452262399,2.9445928810991258
-13.720920600620657,12.882216562615914,-15.276155355809182,13.073975661618238,-12.366256371314469,12.715208471365196,1.5652002615553602,1.3633821787801168,2.928582440335477
-13.687013500984145,12.997654121527427,-15.261890974607322,13.20194261443248,-12.369211869674883,12.826743189123732,1.5853258316821972,1.3265039480073193,2.9118297796895165
-13.652143961064176,13.11262515007938,-15.24651496590509,13.33116295864055,-12.372274771956803,12.937248403268226,1.6057115491480922,1.2887906265768168,2.894502175724909
-13.616296314528828,13.227044713963746,-15.22984214706612,13.461893443394414,-12.375358399404307,13.046519339728258,1.626350585714819,1.2504163192904993,2.8767669050053186
-13.579462931762007,13.340809184338507,-15.211687335454045,13.594390817846062,-12.37837607326147,13.154351224433398,1.6472340094169122,1.2115572346774974,2.8587912440944097
-13.541645719520035,13.453795988955315,-15.191865348432488,13.728911831147466,-12.381241114772363,13.260539283313223,1.6683509183154057,1.1723915512404417,2.840742469555847
-13.502848774473657,13.565862041431796,-15.170191003365089,13.865713232450602,-12.383866845181082,13.36487874229732,1.689697985015324,1.1330898729379717,2.822787857953296
-13.463074095642106,13.676842303235263,-15.146479117615472,14.005051770907448,-12.386166585731692,13.467164827315248,1.7112865208175125,1.0938081650329066,2.805094685850419
-13.422330291137566,13.786550634174372,-15.12054450854727,14.147184195669974,-12.388053657668276,13.567192764296587,1.7331370098986951,1.0546932199121877,2.787830229810883
-13.380639440084105,13.894781025318407,-15.092201993524116,14.292367255890166,-12.38944138223491,13.66475777917092,1.7552761435154627,1.015885622882888,2.7711617663983508
-13.338029039380718,14.001306011654712,-15.06126638990964,14.44085770072,-12.390243080675678,13.759655097867816,1.7777498648616339,0.977506707314853,2.755256572176487
-13.294523519988955,14.105874425513793,-15.027550315123008,14.592899577758091,-12.39036892724575,13.851686566499309,1.8006343004786252,0.9396461972891169,2.740280497767742
-13.250142317476953,14.208231768373546,-14.990795800236649,14.748329398747453,-12.389628123446826,13.94086644312781,1.823925597884603,0.9024280438545635,2.7263536417391663
-13.204898181951513,14.308177470734671,-14.950660993528055,14.906499371480251,-12.387709877649296,14.027461410100262,1.8474983066243789,0.8660434255998051,2.7135417322241837
-13.158790815441726,14.405583600444334,-14.90679915918624,15.06673350507752,-12.38429641160524,14.111752847205944,1.8712251822119363,0.8306821494175161,2.701907331629452
-13.111791324843777,14.500395796949691,-14.85886356140022,15.22835580866025,-12.379069947066744,14.19402213423414,1.894990867293573,0.7965221350680594,2.6915130023616323
-13.063831006386923,14.592631287446281,-14.806507464359006,15.390690291349472,-12.37171270578588,14.274550650974131,1.9186929621669955,0.7637283446603883,2.6824213068273837
-13.014805803070514,14.682380120002515,-14.749384132251606,15.5530609622662,-12.361906909514731,14.3536197772152,1.942226395871102,0.7324684115622636,2.6746948074333656
-12.964583987575462,14.769807424496058,-14.687146829267036,15.714791830531444,-12.34933478000538,14.431510892746616,1.9654642002048475,0.702931866381389,2.6683960665862365
-12.913001122634133,14.855148667045873,-14.619448819594306,15.875206905266223,-12.333678539009906,14.50850537735768,1.988253178741168,0.6753344679514891,2.663587646692657
-12.859853743524537,14.9386983536678,-14.545951786914058,16.033631764009638,-12.314622003051344,14.584881139007654,2.0104161603010287,0.6499123760352548,2.6603285363362836
-12.804952737922155,15.020713171188193,-14.466658302688892,16.189455486301174,-12.291913557626472,14.660775518447988,2.0317963201232114,0.626736707284413,2.6585330274076244
-12.74817893097784,15.101352454081756,-14.382021784133835,16.3421511371109,-12.265386984802694,14.736139947365793,2.05225133421077,0.6056727070153817,2.657924041226152
-12.689434015177545,15.180760229630966,-14.2925265997876,16.491197547150797,-12.234881929266477,14.81091309447639,2.07159168345886,0.5866196777389947,2.6582113611978544
-12.628632457399572,15.259066261874903,-14.198657118188883,16.63607354713284,-12.20023803570428,14.885033628495098,2.089585124815792,0.5695196459129327,2.6591047707287245
