time,x,y,yaw,vel,accel,steer,theta
179,-1.16188,-9.16139,3.0328,2.08855,0.126883,-0.195373,14.4737
180,-1.28566,-9.13879,2.97309,2.1072,0.399082,-0.245663,14.5837
181,-1.40818,-9.10592,2.8956,2.12314,0.265355,-0.295609,14.6937
182,-1.52777,-9.06067,2.79919,2.13993,0.135723,-0.327061,14.8137
183,-1.64212,-9.00169,2.68671,2.14933,-0.0750955,-0.334637,14.9337
184,-1.74809,-8.92873,2.56165,2.12919,-0.36512,-0.303531,15.0637
185,-1.84294,-8.84519,2.44354,2.09031,-0.397501,-0.305234,15.1737
186,-1.92672,-8.75245,2.33126,2.078,-0.15025,-0.29537,15.2837
187,-1.9991,-8.65141,2.22021,2.06716,-0.177229,-0.275359,15.3937
188,-2.05971,-8.54364,2.11248,2.05622,-0.154886,-0.250471,15.5037
189,-2.10945,-8.43108,2.01492,2.04739,-0.104378,-0.224257,15.6137
190,-2.14925,-8.31514,1.92728,2.04005,0.531585,-0.192846,15.7237
191,-2.17972,-8.19648,1.84733,2.04039,-0.473631,-0.168983,15.8337
192,-2.20877,-8.03543,1.75961,2.04104,-0.54063,-0.146081,15.9837
193,-2.2232,-7.91394,1.70561,2.01479,0.752006,-0.111766,16.0937
194,-2.23188,-7.79319,1.65869,2.02003,0.747932,-0.0923818,16.2037
195,-2.23608,-7.67191,1.61885,2.02497,0.215513,-0.0727054,16.3137
196,-2.23648,-7.51066,1.57895,2.01959,-0.711433,-0.0624353,16.4537
197,-2.23308,-7.38993,1.55201,2.01033,0.267796,-0.0515305,16.5637
198,-2.22745,-7.26998,1.53096,2.00549,0.525622,-0.0439566,16.6637
199,-2.21974,-7.14972,1.51328,2.00608,-0.453255,-0.0236626,16.7837
200,-2.21083,-7.02933,1.50234,2.01754,0.501133,-0.0144902,16.9037
201,-2.20158,-6.90889,1.49642,2.00905,-0.473362,-0.00565256,17.0437
202,-2.19169,-6.78844,1.49075,2.0192,0.48144,-0.00677763,17.1837
203,-2.18472,-6.70817,1.48697,2.01924,0.477548,-0.00523324,17.2937
204,-2.17759,-6.62791,1.48468,2.01911,0.475199,0.000494995,17.3937
205,-2.16722,-6.50751,1.48561,2.00902,-0.493548,0.000596481,17.5237
0,-2.15718,-6.38712,1.48752,2.01822,0.482389,0.00269413,17.6537
1,-2.14737,-6.26672,1.48934,2.00838,-0.484481,0.000440393,17.7637
2,-2.1378,-6.14631,1.49128,2.01806,0.486306,0.00279296,17.8737
3,-2.12845,-6.02587,1.49311,2.00846,-0.482369,0.000397768,17.9837
4,-2.11933,-5.90542,1.49506,2.01824,0.491767,0.002635,18.1037
5,-2.11043,-5.78495,1.49688,2.00832,-0.503089,0.00128074,18.2237
6,-2.10177,-5.66446,1.49883,2.0183,0.507066,0.00266489,18.3537
7,-2.09333,-5.54396,1.50065,2.00832,-0.484834,0.00150606,18.4737
8,-2.08512,-5.42342,1.5026,2.01861,0.505837,0.00285452,18.6037
9,-2.07713,-5.30288,1.50443,2.0082,-0.502091,0.000222147,18.7237
10,-2.06938,-5.18234,1.50638,2.01813,0.501804,0.00283867,18.8537
11,-2.06185,-5.06179,1.5082,2.00806,-0.507975,0.00121034,18.9637
12,-2.05676,-4.98144,1.50723,2.0078,0.484253,-0.00206827,19.0637
13,-2.04662,-4.82062,1.50726,2.01665,-0.528208,-0.00195191,19.2137
14,-2.04122,-4.74031,1.50536,2.00562,0.437788,0.0012272,19.3137
15,-2.03002,-4.57943,1.5017,2.01178,-0.569963,0.00125467,19.4637
16,-2.02136,-4.45886,1.49977,2.01716,0.40118,0.00178886,19.6037
17,-2.01307,-4.33859,1.50144,2.00122,-0.630148,0.00153515,19.7237
18,-2.00251,-4.17886,1.50461,1.99053,-0.188637,0.00233193,19.8737
19,-1.99446,-4.05929,1.5035,2.00995,0.531213,0.000902746,19.9837
20,-1.98394,-3.89873,1.50624,2.0182,0.539432,0.00307578,20.1337
21,-1.97415,-3.738,1.50873,2.00871,0.282381,-0.00216261,20.2937
22,-1.96744,-3.63806,1.50496,2.00222,-0.725276,-0.000862715,20.3937
23,-1.95569,-3.47977,1.49752,1.97464,0.429353,-0.00252978,20.5237
24,-1.94772,-3.38091,1.49282,1.99376,-0.627702,-0.00189709,20.6237
25,-1.94098,-3.30133,1.48909,1.98929,0.77447,-0.00371054,20.7237
26,-1.92661,-3.1423,1.48162,2.00351,-0.215472,0.00284624,20.8837
27,-1.913,-3.00224,1.47543,2.01068,0.332545,-0.0177906,21.0237
28,-1.89919,-2.86276,1.47209,1.9908,-0.233461,0.0333329,21.1737
29,-1.8835,-2.70364,1.47536,2.00323,-0.231967,0.0348733,21.3237
30,-1.87444,-2.58336,1.49146,1.99385,0.704694,0.0432245,21.4537
31,-1.8676,-2.46356,1.5083,2.00293,-0.414903,0.0192813,21.5837
32,-1.86274,-2.34302,1.5249,2.01812,0.460423,0.0124546,21.7037
33,-1.85856,-2.22226,1.53251,2.00821,-0.539747,-0.0149189,21.8237
34,-1.85418,-2.10161,1.53335,2.01585,0.495493,-0.0177066,21.9437
35,-1.84901,-1.98108,1.52861,2.00561,-0.492284,-0.0414171,22.0637
36,-1.84256,-1.86061,1.51942,2.01601,0.507815,-0.0423012,22.1837
